"Year Month","State","Industry","Suspicious Activity","Instrument","Count"
"2012 ","California","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Bank/Cashier's Check","1"
"2012 ","California","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Personal/Business Check","1"
"2012 ","California","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","[Total]","2"
"2012 ","California","Insurance Company","Suspicious Termination of Policy or Contract","Money Orders","1"
"2012 ","California","Insurance Company","Suspicious Termination of Policy or Contract","[Total]","1"
"2012 ","California","Insurance Company","Suspicious Use of Multiple Accounts","Money Orders","2"
"2012 ","California","Insurance Company","Suspicious Use of Multiple Accounts","Personal/Business Check","1"
"2012 ","California","Insurance Company","Suspicious Use of Multiple Accounts","[Total]","3"
"2012 ","California","Insurance Company","Suspicious use of multiple transaction locations","Money Orders","2"
"2012 ","California","Insurance Company","Suspicious use of multiple transaction locations","Personal/Business Check","1"
"2012 ","California","Insurance Company","Suspicious use of multiple transaction locations","[Total]","3"
"2012 ","California","Insurance Company","Suspicious Use of Noncash Monetary Instruments","Money Orders","2"
"2012 ","California","Insurance Company","Suspicious Use of Noncash Monetary Instruments","[Total]","2"
"2012 ","California","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Money Orders","1"
"2012 ","California","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Personal/Business Check","1"
"2012 ","California","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","[Total]","2"
"2012 ","California","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","Money Orders","2"
"2012 ","California","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","[Total]","2"
"2012 ","California","Insurance Company","Two or More Individuals Working Together","Money Orders","1"
"2012 ","California","Insurance Company","Two or More Individuals Working Together","Personal/Business Check","1"
"2012 ","California","Insurance Company","Two or More Individuals Working Together","[Total]","2"
"2012 ","California","Insurance Company","Wire","Funds Transfer","1"
"2012 ","California","Insurance Company","Wire","[Total]","1"
"2012 ","California","Insurance Company","[Total]","[Total]","41"
"2012 ","Connecticut","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Bank/Cashier's Check","1"
"2012 ","Connecticut","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","1"
"2012 ","Connecticut","Insurance Company","Suspicion Concerning the Source of Funds","Bank/Cashier's Check","1"
"2012 ","Connecticut","Insurance Company","Suspicion Concerning the Source of Funds","Funds Transfer","1"
"2012 ","Connecticut","Insurance Company","Suspicion Concerning the Source of Funds","Personal/Business Check","1"
"2012 ","Connecticut","Insurance Company","Suspicion Concerning the Source of Funds","[Total]","3"
"2012 ","Connecticut","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Funds Transfer","1"
"2012 ","Connecticut","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Personal/Business Check","1"
"2012 ","Connecticut","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","[Total]","2"
"2012 ","Connecticut","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Funds Transfer","1"
"2012 ","Connecticut","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Personal/Business Check","1"
"2012 ","Connecticut","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","[Total]","2"
"2012 ","Connecticut","Insurance Company","Suspicious Use of Multiple Accounts","Bank/Cashier's Check","1"
"2012 ","Connecticut","Insurance Company","Suspicious Use of Multiple Accounts","[Total]","1"
"2012 ","Connecticut","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Funds Transfer","1"
"2012 ","Connecticut","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Personal/Business Check","1"
"2012 ","Connecticut","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","[Total]","2"
"2012 ","Connecticut","Insurance Company","[Total]","[Total]","11"
"2012 ","Florida","Insurance Company","Alters or Cancels Transaction to Avoid CTR Requirement","U.S. Currency","8"
"2012 ","Florida","Insurance Company","Alters or Cancels Transaction to Avoid CTR Requirement","[Total]","8"
"2012 ","Florida","Insurance Company","Other Structuring","U.S. Currency","2"
"2012 ","Florida","Insurance Company","Other Structuring","[Total]","2"
"2012 ","Florida","Insurance Company","Transaction(s) Below CTR Threshold","U.S. Currency","8"
"2012 ","Florida","Insurance Company","Transaction(s) Below CTR Threshold","[Total]","8"
"2012 ","Florida","Insurance Company","[Total]","[Total]","18"
"2012 ","Illinois","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Bank/Cashier's Check","1"
"2012 ","Illinois","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","[Total]","2"
"2012 ","Illinois","Insurance Company","Check","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Check","[Total]","1"
"2012 ","Illinois","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Embezzlement/Theft/Disappearance of Funds","[Total]","1"
"2012 ","Illinois","Insurance Company","Excessive Insurance","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Excessive Insurance","[Total]","1"
"2012 ","Illinois","Insurance Company","Forgeries","Personal/Business Check","2"
"2012 ","Illinois","Insurance Company","Forgeries","[Total]","2"
"2012 ","Illinois","Insurance Company","Identity Theft","Personal/Business Check","2"
"2012 ","Illinois","Insurance Company","Identity Theft","[Total]","2"
"2012 ","Illinois","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","Bank/Cashier's Check","1"
"2012 ","Illinois","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","[Total]","1"
"2012 ","Illinois","Insurance Company","Other Fraud (Type)","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Other Fraud (Type)","[Total]","1"
"2012 ","Illinois","Insurance Company","Other Insurance","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Other Insurance","[Total]","1"
"2012 ","Illinois","Insurance Company","Other Other Suspicious Activities","Bank/Cashier's Check","1"
"2012 ","Illinois","Insurance Company","Other Other Suspicious Activities","[Total]","1"
"2012 ","Illinois","Insurance Company","Provided Questionable or False Documentation","Personal/Business Check","2"
"2012 ","Illinois","Insurance Company","Provided Questionable or False Documentation","[Total]","2"
"2012 ","Illinois","Insurance Company","Refused or Avoided Request for Documentation","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Refused or Avoided Request for Documentation","[Total]","1"
"2012 ","Illinois","Insurance Company","Suspicion Concerning the Source of Funds","U.S. Currency","1"
"2012 ","Illinois","Insurance Company","Suspicion Concerning the Source of Funds","[Total]","1"
"2012 ","Illinois","Insurance Company","Unclear or No Insurable Interest","Personal/Business Check","1"
"2012 ","Illinois","Insurance Company","Unclear or No Insurable Interest","[Total]","1"
"2012 ","Illinois","Insurance Company","[Total]","[Total]","18"
"2012 ","Indiana","Insurance Company","Account Takeover","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Account Takeover","Personal/Business Check","2"
"2012 ","Indiana","Insurance Company","Account Takeover","[Total]","3"
"2012 ","Indiana","Insurance Company","ACH","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","ACH","Funds Transfer","2"
"2012 ","Indiana","Insurance Company","ACH","Personal/Business Check","2"
"2012 ","Indiana","Insurance Company","ACH","[Total]","5"
"2012 ","Indiana","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Bank/Cashier's Check","2"
"2012 ","Indiana","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Funds Transfer","11"
"2012 ","Indiana","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Personal/Business Check","11"
"2012 ","Indiana","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","[Total]","24"
"2012 ","Indiana","Insurance Company","Changes Spelling or Arrangement of Name","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Changes Spelling or Arrangement of Name","[Total]","1"
"2012 ","Indiana","Insurance Company","Check","Bank/Cashier's Check","5"
"2012 ","Indiana","Insurance Company","Check","Funds Transfer","14"
"2012 ","Indiana","Insurance Company","Check","Personal/Business Check","25"
"2012 ","Indiana","Insurance Company","Check","[Total]","44"
"2012 ","Indiana","Insurance Company","Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements","[Total]","1"
"2012 ","Indiana","Insurance Company","Elder Financial Exploitation","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Elder Financial Exploitation","Funds Transfer","7"
"2012 ","Indiana","Insurance Company","Elder Financial Exploitation","Personal/Business Check","13"
"2012 ","Indiana","Insurance Company","Elder Financial Exploitation","[Total]","21"
"2012 ","Indiana","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Bank/Cashier's Check","2"
"2012 ","Indiana","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Funds Transfer","2"
"2012 ","Indiana","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Other","1"
"2012 ","Indiana","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Personal/Business Check","8"
"2012 ","Indiana","Insurance Company","Embezzlement/Theft/Disappearance of Funds","[Total]","13"
"2012 ","Indiana","Insurance Company","Excessive Insurance","Bank/Cashier's Check","2"
"2012 ","Indiana","Insurance Company","Excessive Insurance","Funds Transfer","12"
"2012 ","Indiana","Insurance Company","Excessive Insurance","Personal/Business Check","13"
"2012 ","Indiana","Insurance Company","Excessive Insurance","[Total]","27"
"2012 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Funds Transfer","2"
"2012 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Personal/Business Check","2"
"2012 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","[Total]","4"
"2012 ","Indiana","Insurance Company","Forgeries","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Forgeries","Funds Transfer","2"
"2012 ","Indiana","Insurance Company","Forgeries","Other","1"
"2012 ","Indiana","Insurance Company","Forgeries","Personal/Business Check","4"
"2012 ","Indiana","Insurance Company","Forgeries","[Total]","8"
"2012 ","Indiana","Insurance Company","Identity Theft","Funds Transfer","3"
"2012 ","Indiana","Insurance Company","Identity Theft","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Identity Theft","[Total]","4"
"2012 ","Indiana","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","Personal/Business Check","2"
"2012 ","Indiana","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","[Total]","2"
"2012 ","Indiana","Insurance Company","Mail","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Mail","Funds Transfer","16"
"2012 ","Indiana","Insurance Company","Mail","Personal/Business Check","18"
"2012 ","Indiana","Insurance Company","Mail","[Total]","38"
"2012 ","Indiana","Insurance Company","Misuse of Position or Self-Dealing","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Misuse of Position or Self-Dealing","Funds Transfer","13"
"2012 ","Indiana","Insurance Company","Misuse of Position or Self-Dealing","Personal/Business Check","15"
"2012 ","Indiana","Insurance Company","Misuse of Position or Self-Dealing","[Total]","32"
"2012 ","Indiana","Insurance Company","Multiple Individuals with Same or Similar Identities","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Multiple Individuals with Same or Similar Identities","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Multiple Individuals with Same or Similar Identities","[Total]","2"
"2012 ","Indiana","Insurance Company","Other Fraud (Type)","Personal/Business Check","2"
"2012 ","Indiana","Insurance Company","Other Fraud (Type)","[Total]","2"
"2012 ","Indiana","Insurance Company","Other Insurance","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Other Insurance","Other","1"
"2012 ","Indiana","Insurance Company","Other Insurance","[Total]","2"
"2012 ","Indiana","Insurance Company","Other Other Suspicious Activities","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Other Other Suspicious Activities","[Total]","1"
"2012 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Bank/Cashier's Check","6"
"2012 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Funds Transfer","18"
"2012 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Personal/Business Check","19"
"2012 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","43"
"2012 ","Indiana","Insurance Company","Provided Questionable or False Documentation","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Provided Questionable or False Documentation","Funds Transfer","4"
"2012 ","Indiana","Insurance Company","Provided Questionable or False Documentation","Personal/Business Check","7"
"2012 ","Indiana","Insurance Company","Provided Questionable or False Documentation","[Total]","12"
"2012 ","Indiana","Insurance Company","Pyramid Scheme","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Pyramid Scheme","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Pyramid Scheme","[Total]","2"
"2012 ","Indiana","Insurance Company","Refused or Avoided Request for Documentation","Funds Transfer","2"
"2012 ","Indiana","Insurance Company","Refused or Avoided Request for Documentation","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Refused or Avoided Request for Documentation","[Total]","3"
"2012 ","Indiana","Insurance Company","Single Individual with Multiple Identities","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Single Individual with Multiple Identities","[Total]","1"
"2012 ","Indiana","Insurance Company","Suspicion Concerning the Source of Funds","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Suspicion Concerning the Source of Funds","Funds Transfer","18"
"2012 ","Indiana","Insurance Company","Suspicion Concerning the Source of Funds","Personal/Business Check","19"
"2012 ","Indiana","Insurance Company","Suspicion Concerning the Source of Funds","[Total]","41"
"2012 ","Indiana","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Bank/Cashier's Check","3"
"2012 ","Indiana","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Funds Transfer","12"
"2012 ","Indiana","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","Personal/Business Check","16"
"2012 ","Indiana","Insurance Company","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","[Total]","31"
"2012 ","Indiana","Insurance Company","Suspicious EFT/Wire Transfers","Bank/Cashier's Check","3"
"2012 ","Indiana","Insurance Company","Suspicious EFT/Wire Transfers","Funds Transfer","19"
"2012 ","Indiana","Insurance Company","Suspicious EFT/Wire Transfers","Personal/Business Check","13"
"2012 ","Indiana","Insurance Company","Suspicious EFT/Wire Transfers","[Total]","35"
"2012 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Bank/Cashier's Check","2"
"2012 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Funds Transfer","12"
"2012 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","Personal/Business Check","14"
"2012 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","[Total]","28"
"2012 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","Bank/Cashier's Check","3"
"2012 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","Funds Transfer","6"
"2012 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","Personal/Business Check","7"
"2012 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","[Total]","16"
"2012 ","Indiana","Insurance Company","Suspicious Use of Multiple Accounts","Bank/Cashier's Check","2"
"2012 ","Indiana","Insurance Company","Suspicious Use of Multiple Accounts","Funds Transfer","12"
"2012 ","Indiana","Insurance Company","Suspicious Use of Multiple Accounts","Personal/Business Check","12"
"2012 ","Indiana","Insurance Company","Suspicious Use of Multiple Accounts","[Total]","26"
"2012 ","Indiana","Insurance Company","Suspicious use of multiple transaction locations","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Suspicious use of multiple transaction locations","[Total]","1"
"2012 ","Indiana","Insurance Company","Suspicious Use of Noncash Monetary Instruments","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Suspicious Use of Noncash Monetary Instruments","[Total]","1"
"2012 ","Indiana","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Funds Transfer","16"
"2012 ","Indiana","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","Personal/Business Check","19"
"2012 ","Indiana","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","[Total]","39"
"2012 ","Indiana","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","Bank/Cashier's Check","1"
"2012 ","Indiana","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","Personal/Business Check","1"
"2012 ","Indiana","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","[Total]","3"
"2012 ","Indiana","Insurance Company","Transaction(s) Below BSA Recordkeeping Threshold","Funds Transfer","1"
"2012 ","Indiana","Insurance Company","Transaction(s) Below BSA Recordkeeping Threshold","[Total]","1"
"2012 ","Indiana","Insurance Company","Two or More Individuals Working Together","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Two or More Individuals Working Together","Funds Transfer","18"
"2012 ","Indiana","Insurance Company","Two or More Individuals Working Together","Personal/Business Check","19"
"2012 ","Indiana","Insurance Company","Two or More Individuals Working Together","[Total]","41"
"2012 ","Indiana","Insurance Company","Unclear or No Insurable Interest","Bank/Cashier's Check","3"
"2012 ","Indiana","Insurance Company","Unclear or No Insurable Interest","Funds Transfer","12"
"2012 ","Indiana","Insurance Company","Unclear or No Insurable Interest","Personal/Business Check","15"
"2012 ","Indiana","Insurance Company","Unclear or No Insurable Interest","[Total]","30"
"2012 ","Indiana","Insurance Company","Wire","Bank/Cashier's Check","4"
"2012 ","Indiana","Insurance Company","Wire","Funds Transfer","16"
"2012 ","Indiana","Insurance Company","Wire","Other","1"
"2012 ","Indiana","Insurance Company","Wire","Personal/Business Check","13"
"2012 ","Indiana","Insurance Company","Wire","[Total]","34"
"2012 ","Indiana","Insurance Company","[Total]","[Total]","622"
"2012 ","Iowa","Insurance Company","Account Takeover","Other","1"
"2012 ","Iowa","Insurance Company","Account Takeover","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Account Takeover","[Total]","2"
"2012 ","Iowa","Insurance Company","ACH","Other","1"
"2012 ","Iowa","Insurance Company","ACH","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","ACH","[Total]","2"
"2012 ","Iowa","Insurance Company","Alters or Cancels Transaction to Avoid CTR Requirement","Money Orders","2"
"2012 ","Iowa","Insurance Company","Alters or Cancels Transaction to Avoid CTR Requirement","Personal/Business Check","2"
"2012 ","Iowa","Insurance Company","Alters or Cancels Transaction to Avoid CTR Requirement","[Total]","4"
"2012 ","Iowa","Insurance Company","Check","Government Payment","1"
"2012 ","Iowa","Insurance Company","Check","Money Orders","1"
"2012 ","Iowa","Insurance Company","Check","Other","1"
"2012 ","Iowa","Insurance Company","Check","Personal/Business Check","3"
"2012 ","Iowa","Insurance Company","Check","[Total]","6"
"2012 ","Iowa","Insurance Company","Counterfeit Instrument","Government Payment","1"
"2012 ","Iowa","Insurance Company","Counterfeit Instrument","Money Orders","1"
"2012 ","Iowa","Insurance Company","Counterfeit Instrument","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Counterfeit Instrument","[Total]","3"
"2012 ","Iowa","Insurance Company","Embezzlement/Theft/Disappearance of Funds","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Embezzlement/Theft/Disappearance of Funds","[Total]","1"
"2012 ","Iowa","Insurance Company","Excessive Insurance","Other","1"
"2012 ","Iowa","Insurance Company","Excessive Insurance","[Total]","1"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Bank/Cashier's Check","1"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Government Payment","1"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Money Orders","1"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","Personal/Business Check","3"
"2012 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","[Total]","7"
"2012 ","Iowa","Insurance Company","Forgeries","Other","1"
"2012 ","Iowa","Insurance Company","Forgeries","Personal/Business Check","2"
"2012 ","Iowa","Insurance Company","Forgeries","[Total]","3"
"2012 ","Iowa","Insurance Company","Identity Theft","Other","1"
"2012 ","Iowa","Insurance Company","Identity Theft","Personal/Business Check","2"
"2012 ","Iowa","Insurance Company","Identity Theft","[Total]","3"
"2012 ","Iowa","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","Bank/Cashier's Check","1"
"2012 ","Iowa","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","[Total]","3"
"2012 ","Iowa","Insurance Company","Misuse of Position or Self-Dealing","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Misuse of Position or Self-Dealing","[Total]","1"
"2012 ","Iowa","Insurance Company","Other Fraud (Type)","Bank/Cashier's Check","1"
"2012 ","Iowa","Insurance Company","Other Fraud (Type)","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Other Fraud (Type)","Other","1"
"2012 ","Iowa","Insurance Company","Other Fraud (Type)","Personal/Business Check","2"
"2012 ","Iowa","Insurance Company","Other Fraud (Type)","[Total]","5"
"2012 ","Iowa","Insurance Company","Other Identification Documentation","Government Payment","1"
"2012 ","Iowa","Insurance Company","Other Identification Documentation","Money Orders","4"
"2012 ","Iowa","Insurance Company","Other Identification Documentation","Personal/Business Check","2"
"2012 ","Iowa","Insurance Company","Other Identification Documentation","[Total]","7"
"2012 ","Iowa","Insurance Company","Other Insurance","Other","1"
"2012 ","Iowa","Insurance Company","Other Insurance","[Total]","1"
"2012 ","Iowa","Insurance Company","Other Money Laundering","Bank/Cashier's Check","1"
"2012 ","Iowa","Insurance Company","Other Money Laundering","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Other Money Laundering","Money Orders","1"
"2012 ","Iowa","Insurance Company","Other Money Laundering","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Other Money Laundering","[Total]","4"
"2012 ","Iowa","Insurance Company","Other Other Suspicious Activities","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Other Other Suspicious Activities","[Total]","1"
"2012 ","Iowa","Insurance Company","Other Securities/Futures/Options","Other","1"
"2012 ","Iowa","Insurance Company","Other Securities/Futures/Options","[Total]","1"
"2012 ","Iowa","Insurance Company","Other Structuring","Bank/Cashier's Check","1"
"2012 ","Iowa","Insurance Company","Other Structuring","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Other Structuring","Money Orders","29"
"2012 ","Iowa","Insurance Company","Other Structuring","Personal/Business Check","15"
"2012 ","Iowa","Insurance Company","Other Structuring","[Total]","46"
"2012 ","Iowa","Insurance Company","Other Terrorist","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Other Terrorist","[Total]","1"
"2012 ","Iowa","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Other","1"
"2012 ","Iowa","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","2"
"2012 ","Iowa","Insurance Company","Provided Questionable or False Documentation","Government Payment","1"
"2012 ","Iowa","Insurance Company","Provided Questionable or False Documentation","Money Orders","4"
"2012 ","Iowa","Insurance Company","Provided Questionable or False Documentation","Other","1"
"2012 ","Iowa","Insurance Company","Provided Questionable or False Documentation","Personal/Business Check","3"
"2012 ","Iowa","Insurance Company","Provided Questionable or False Documentation","[Total]","9"
"2012 ","Iowa","Insurance Company","Refused or Avoided Request for Documentation","Personal/Business Check","1"
"2012 ","Iowa","Insurance Company","Refused or Avoided Request for Documentation","[Total]","1"
"2012 ","Iowa","Insurance Company","Suspicion Concerning the Source of Funds","Bank/Cashier's Check","3"
"2012 ","Iowa","Insurance Company","Suspicion Concerning the Source of Funds","Funds Transfer","1"
"2012 ","Iowa","Insurance Company","Suspicion Concerning the Source of Funds","Government Payment","1"
